CMDLINE c:\users\test\appdata\local\programs\python\python37\python.exe main.py
MEM 1.597656 1684150493.9646
MEM 22.011719 1684150494.0651
MEM 34.968750 1684150494.1741
MEM 42.335938 1684150494.2848
MEM 44.328125 1684150494.3936
MEM 44.355469 1684150494.5023
MEM 44.355469 1684150494.6106
MEM 50.667969 1684150494.7204
MEM 50.695312 1684150494.8324
MEM 52.476562 1684150494.9424
MEM 52.507812 1684150495.0531
MEM 53.554688 1684150495.1638
MEM 53.554688 1684150495.2756
MEM 93.515625 1684150495.3869
MEM 93.515625 1684150495.4976
MEM 101.144531 1684150495.6089
MEM 101.144531 1684150495.7202
MEM 103.609375 1684150495.8285
MEM 104.273438 1684150495.9397
MEM 107.410156 1684150496.0494
MEM 107.492188 1684150496.1592
MEM 107.492188 1684150496.2699
MEM 107.492188 1684150496.3796
MEM 107.492188 1684150496.4893
MEM 107.492188 1684150496.5990
MEM 135.359375 1684150496.7066
MEM 163.421875 1684150496.8163
MEM 187.363281 1684150496.9262
MEM 197.691406 1684150497.0350
MEM 211.023438 1684150497.1427
MEM 217.781250 1684150497.2518
MEM 224.683594 1684150497.3607
MEM 251.601562 1684150497.4712
MEM 378.726562 1684150497.5802
MEM 617.292969 1684150497.6897
MEM 466.449219 1684150497.7991
MEM 466.460938 1684150497.9085
MEM 471.539062 1684150498.0194
MEM 512.214844 1684150498.1273
MEM 512.214844 1684150498.2371
MEM 512.214844 1684150498.3457
MEM 512.214844 1684150498.4544
MEM 512.214844 1684150498.5637
MEM 512.214844 1684150498.6744
MEM 512.214844 1684150498.7826
MEM 512.214844 1684150498.8945
MEM 512.214844 1684150499.0042
MEM 512.675781 1684150499.1129
MEM 512.675781 1684150499.2194
MEM 512.675781 1684150499.3297
MEM 512.675781 1684150499.4385
MEM 512.675781 1684150499.5488
MEM 512.675781 1684150499.6573
MEM 512.675781 1684150499.7658
MEM 512.675781 1684150499.8760
MEM 512.675781 1684150499.9870
MEM 513.484375 1684150500.0957
MEM 513.484375 1684150500.2052
MEM 513.484375 1684150500.3131
MEM 513.484375 1684150500.4233
MEM 513.484375 1684150500.5331
MEM 513.484375 1684150500.6434
MEM 513.484375 1684150500.7516
MEM 513.484375 1684150500.8609
MEM 513.527344 1684150500.9698
MEM 513.527344 1684150501.0795
MEM 513.527344 1684150501.1903
MEM 513.527344 1684150501.3020
MEM 513.527344 1684150501.4117
MEM 513.527344 1684150501.5207
MEM 513.527344 1684150501.6316
MEM 513.527344 1684150501.7411
MEM 513.527344 1684150501.8513
MEM 509.984375 1684150501.9630
MEM 509.984375 1684150502.0719
MEM 509.984375 1684150502.1836
MEM 509.984375 1684150502.2948
MEM 590.019531 1684150502.4057
MEM 826.070312 1684150502.5164
MEM 936.527344 1684150502.6271
MEM 1068.433594 1684150502.7358
MEM 1236.226562 1684150502.8455
MEM 1414.410156 1684150502.9552
MEM 1596.109375 1684150503.0640
MEM 1736.375000 1684150503.1737
MEM 1824.203125 1684150503.2824
MEM 2001.113281 1684150503.3915
MEM 2204.113281 1684150503.5025
MEM 2379.687500 1684150503.6127
MEM 2561.582031 1684150503.7226
MEM 2736.402344 1684150503.8316
MEM 2899.187500 1684150503.9394
MEM 3072.914062 1684150504.0495
MEM 3201.378906 1684150504.1602
MEM 3354.859375 1684150504.2679
MEM 3541.445312 1684150504.3766
MEM 3705.796875 1684150504.4873
MEM 3864.296875 1684150504.5950
MEM 4029.257812 1684150504.7067
MEM 4031.800781 1684150504.8155
MEM 4031.875000 1684150504.9242
MEM 4085.324219 1684150505.0349
MEM 4163.058594 1684150505.1436
MEM 4163.277344 1684150505.2513
MEM 4163.531250 1684150505.3609
MEM 4164.402344 1684150505.4716
MEM 4131.394531 1684150505.5794
MEM 4108.394531 1684150505.6901
MEM 4064.656250 1684150505.7978
MEM 4029.050781 1684150505.9075
MEM 4055.757812 1684150506.0184
MEM 4164.394531 1684150506.1275
MEM 4164.398438 1684150506.2372
MEM 4164.398438 1684150506.3469
MEM 4127.707031 1684150506.4577
MEM 4088.226562 1684150506.5674
MEM 4036.617188 1684150506.6731
MEM 4017.402344 1684150506.7828
MEM 4164.398438 1684150506.8925
MEM 4164.460938 1684150507.0012
MEM 4164.460938 1684150507.1109
MEM 4164.460938 1684150507.2206
MEM 4118.085938 1684150507.3303
MEM 4071.238281 1684150507.4400
MEM 4029.894531 1684150507.5490
MEM 4121.843750 1684150507.6577
MEM 4164.460938 1684150507.7674
MEM 4164.460938 1684150507.8761
MEM 4164.460938 1684150507.9873
MEM 4131.367188 1684150508.0958
MEM 4079.839844 1684150508.2040
MEM 4025.351562 1684150508.3128
MEM 4115.847656 1684150508.4235
MEM 4164.464844 1684150508.5342
MEM 4164.464844 1684150508.6439
MEM 4164.464844 1684150508.7526
MEM 4137.464844 1684150508.8613
MEM 4096.882812 1684150508.9710
MEM 4054.269531 1684150509.0797
MEM 4017.468750 1684150509.1894
MEM 4164.464844 1684150509.3007
MEM 4164.464844 1684150509.4074
MEM 4164.464844 1684150509.5161
MEM 4164.464844 1684150509.6264
MEM 4128.160156 1684150509.7362
MEM 4089.207031 1684150509.8462
MEM 4050.941406 1684150509.9559
MEM 4017.468750 1684150510.0651
MEM 4164.464844 1684150510.1748
MEM 4164.464844 1684150510.2855
MEM 4164.464844 1684150510.3932
MEM 4141.972656 1684150510.5029
MEM 4101.332031 1684150510.6116
MEM 4064.195312 1684150510.7213
MEM 4025.699219 1684150510.8291
MEM 4099.847656 1684150510.9388
MEM 4164.464844 1684150511.0485
MEM 4164.464844 1684150511.1582
MEM 4163.851562 1684150511.2677
MEM 4115.285156 1684150511.3769
MEM 4076.878906 1684150511.4866
MEM 4022.410156 1684150511.5956
MEM 4017.468750 1684150511.7063
MEM 4164.464844 1684150511.8140
MEM 4164.464844 1684150511.9237
MEM 4164.464844 1684150512.0334
MEM 4130.062500 1684150512.1412
MEM 4085.187500 1684150512.2529
MEM 4044.835938 1684150512.3606
MEM 4018.898438 1684150512.4703
MEM 4164.464844 1684150512.5792
MEM 4164.464844 1684150512.6900
MEM 4164.464844 1684150512.7987
MEM 4124.089844 1684150512.9083
MEM 4087.578125 1684150513.0186
MEM 4053.359375 1684150513.1278
MEM 4017.468750 1684150513.2365
MEM 4164.464844 1684150513.3452
MEM 4164.468750 1684150513.4551
MEM 4164.468750 1684150513.5658
MEM 4164.468750 1684150513.6755
MEM 4132.519531 1684150513.7832
MEM 4096.007812 1684150513.8929
MEM 4047.804688 1684150514.0026
MEM 4017.472656 1684150514.1123
MEM 4164.468750 1684150514.2210
MEM 4164.468750 1684150514.3282
MEM 4164.468750 1684150514.4394
MEM 4139.074219 1684150514.5492
MEM 4097.468750 1684150514.6589
MEM 4047.894531 1684150514.7671
MEM 4017.472656 1684150514.8789
MEM 4164.468750 1684150514.9866
MEM 4164.468750 1684150515.0954
MEM 4164.468750 1684150515.2051
MEM 4156.222656 1684150515.3138
MEM 4113.996094 1684150515.4245
MEM 4078.390625 1684150515.5342
MEM 4031.804688 1684150515.6428
MEM 4108.179688 1684150515.7515
MEM 4164.468750 1684150515.8612
MEM 4164.468750 1684150515.9708
MEM 4164.468750 1684150516.0805
MEM 4133.277344 1684150516.1898
MEM 4085.468750 1684150516.2989
MEM 4043.468750 1684150516.4076
MEM 4017.515625 1684150516.5176
MEM 4164.136719 1684150516.6273
MEM 4164.136719 1684150516.7361
MEM 4164.136719 1684150516.8448
MEM 4164.136719 1684150516.9555
MEM 4164.136719 1684150517.0652
MEM 4164.136719 1684150517.1749
MEM 4164.136719 1684150517.2846
MEM 4164.144531 1684150517.3924
MEM 4113.652344 1684150517.5016
MEM 4113.664062 1684150517.6105
MEM 4113.707031 1684150517.7194
MEM 4113.710938 1684150517.8287
MEM 4113.714844 1684150517.9370
MEM 4113.714844 1684150518.0474
MEM 4113.714844 1684150518.1581
MEM 4120.000000 1684150518.2658
MEM 4120.000000 1684150518.3751
MEM 4120.000000 1684150518.4860
MEM 4120.000000 1684150518.5957
MEM 4120.000000 1684150518.7054
MEM 4120.000000 1684150518.8153
MEM 4120.000000 1684150518.9243
MEM 4120.000000 1684150519.0336
MEM 4120.000000 1684150519.1429
MEM 4120.683594 1684150519.2529
MEM 4120.683594 1684150519.3630
MEM 4120.683594 1684150519.4716
MEM 4120.683594 1684150519.5794
MEM 4120.683594 1684150519.6891
MEM 4120.683594 1684150519.7970
MEM 4120.683594 1684150519.9078
MEM 4120.683594 1684150520.0175
MEM 4120.683594 1684150520.1272
MEM 4120.757812 1684150520.2341
MEM 4120.757812 1684150520.3419
MEM 4120.757812 1684150520.4511
MEM 4120.757812 1684150520.5617
MEM 4120.757812 1684150520.6693
MEM 4120.757812 1684150520.7792
MEM 4120.757812 1684150520.8903
MEM 4120.757812 1684150521.0012
MEM 4120.757812 1684150521.1114
MEM 4120.765625 1684150521.2216
MEM 4120.765625 1684150521.3301
MEM 4120.765625 1684150521.4389
MEM 4120.765625 1684150521.5496
MEM 4120.765625 1684150521.6604
MEM 4120.765625 1684150521.7690
MEM 4120.765625 1684150521.8763
MEM 4120.765625 1684150521.9842
MEM 4120.765625 1684150522.0923
MEM 4116.687500 1684150522.2030
MEM 4116.687500 1684150522.3128
MEM 4116.687500 1684150522.4215
MEM 4123.109375 1684150522.5322
MEM 4167.230469 1684150522.6424
MEM 4167.230469 1684150522.7501
MEM 4164.359375 1684150522.8598
MEM 4167.222656 1684150522.9703
MEM 4167.230469 1684150523.0810
MEM 4061.871094 1684150523.1897
MEM 4167.222656 1684150523.2984
MEM 4167.230469 1684150523.4071
MEM 4167.222656 1684150523.5158
MEM 4167.230469 1684150523.6275
MEM 4159.535156 1684150523.7362
MEM 4102.656250 1684150523.8443
MEM 4070.601562 1684150523.9550
MEM 4027.187500 1684150524.0648
MEM 4167.363281 1684150524.1735
MEM 4167.363281 1684150524.2827
MEM 4167.363281 1684150524.3924
MEM 4167.363281 1684150524.5021
MEM 4122.582031 1684150524.6108
MEM 4095.148438 1684150524.7209
MEM 4056.363281 1684150524.8297
MEM 4020.367188 1684150524.9409
MEM 4141.746094 1684150525.0487
MEM 4167.363281 1684150525.1584
MEM 4167.363281 1684150525.2691
MEM 4167.363281 1684150525.3778
MEM 4120.800781 1684150525.4865
MEM 4074.300781 1684150525.5952
MEM 4037.328125 1684150525.7059
MEM 4020.371094 1684150525.8136
MEM 4167.367188 1684150525.9233
MEM 4167.367188 1684150526.0337
MEM 4167.367188 1684150526.1445
MEM 4167.367188 1684150526.2526
MEM 4126.890625 1684150526.3613
MEM 4086.367188 1684150526.4700
MEM 4043.503906 1684150526.5798
MEM 4020.371094 1684150526.6880
MEM 4167.367188 1684150526.7973
MEM 4167.367188 1684150526.9080
MEM 4167.367188 1684150527.0187
MEM 4146.300781 1684150527.1274
MEM 4088.601562 1684150527.2371
MEM 4056.835938 1684150527.3458
MEM 4020.371094 1684150527.4555
MEM 4167.367188 1684150527.5632
MEM 4167.367188 1684150527.6734
MEM 4167.367188 1684150527.7831
MEM 4167.367188 1684150527.8934
MEM 4134.765625 1684150528.0043
MEM 4092.000000 1684150528.1135
MEM 4048.890625 1684150528.2203
MEM 4020.371094 1684150528.3300
MEM 4142.875000 1684150528.4384
MEM 4167.367188 1684150528.5482
MEM 4167.367188 1684150528.6584
MEM 4167.367188 1684150528.7681
MEM 4133.261719 1684150528.8758
MEM 4090.996094 1684150528.9855
MEM 4040.976562 1684150529.0952
MEM 4020.371094 1684150529.2049
MEM 4167.367188 1684150529.3146
MEM 4167.367188 1684150529.4243
MEM 4167.367188 1684150529.5321
MEM 4142.843750 1684150529.6418
MEM 4108.367188 1684150529.7525
MEM 4058.136719 1684150529.8602
MEM 4032.980469 1684150529.9703
MEM 4028.566406 1684150530.0805
MEM 4167.367188 1684150530.1895
MEM 4167.367188 1684150530.3007
MEM 4167.367188 1684150530.4104
MEM 4134.882812 1684150530.5171
MEM 4095.000000 1684150530.6268
MEM 4061.687500 1684150530.7385
MEM 4020.371094 1684150530.8462
MEM 4167.367188 1684150530.9539
MEM 4167.367188 1684150531.0656
MEM 4167.367188 1684150531.1741
MEM 4166.785156 1684150531.2838
MEM 4111.878906 1684150531.3915
MEM 4070.644531 1684150531.5022
MEM 4029.781250 1684150531.6119
MEM 4090.875000 1684150531.7206
MEM 4167.367188 1684150531.8283
MEM 4167.367188 1684150531.9390
MEM 4167.367188 1684150532.0497
MEM 4157.222656 1684150532.1584
MEM 4102.328125 1684150532.2681
MEM 4057.109375 1684150532.3788
MEM 4021.792969 1684150532.4904
MEM 4112.667969 1684150532.6021
MEM 4167.367188 1684150532.7128
MEM 4167.367188 1684150532.8235
MEM 4167.367188 1684150532.9342
MEM 4150.093750 1684150533.0450
MEM 4110.140625 1684150533.1562
MEM 4058.367188 1684150533.2669
MEM 4020.371094 1684150533.3756
MEM 4134.875000 1684150533.4864
MEM 4167.367188 1684150533.5962
MEM 4167.367188 1684150533.7039
MEM 4156.054688 1684150533.8146
MEM 4093.765625 1684150533.9233
MEM 4048.621094 1684150534.0330
MEM 4020.367188 1684150534.1427
MEM 4167.363281 1684150534.2514
MEM 4167.363281 1684150534.3611
MEM 4167.113281 1684150534.4718
MEM 4167.113281 1684150534.5805
MEM 4167.113281 1684150534.6913
MEM 4129.503906 1684150534.7996
MEM 4020.117188 1684150534.9110
MEM 4116.582031 1684150535.0201
MEM 4116.582031 1684150535.1288
MEM 4052.812500 1684150535.2375
MEM 4182.796875 1684150535.3462
MEM 4475.460938 1684150535.4552
MEM 4024.917969 1684150535.5648
MEM 4024.917969 1684150535.6736
MEM 4024.917969 1684150535.7844
MEM 4024.917969 1684150535.8943
MEM 4024.917969 1684150536.0020
MEM 4024.917969 1684150536.1106
MEM 4024.917969 1684150536.2201
MEM 4024.917969 1684150536.3312
MEM 4024.917969 1684150536.4409
MEM 4024.917969 1684150536.5508
MEM 4024.917969 1684150536.6604
MEM 4024.917969 1684150536.7704
MEM 4024.917969 1684150536.8791
MEM 4024.917969 1684150536.9888
MEM 4024.917969 1684150537.0974
MEM 4024.917969 1684150537.2049
MEM 4024.917969 1684150537.3154
MEM 4024.917969 1684150537.4260
MEM 4024.921875 1684150537.5378
MEM 4024.921875 1684150537.6484
MEM 4024.921875 1684150537.7589
MEM 4024.921875 1684150537.8697
MEM 4024.921875 1684150537.9806
MEM 4024.921875 1684150538.0902
MEM 4024.921875 1684150538.2013
MEM 4024.921875 1684150538.3096
MEM 4024.921875 1684150538.4201
MEM 4024.921875 1684150538.5302
MEM 4024.921875 1684150538.6412
MEM 4024.921875 1684150538.7530
MEM 4024.921875 1684150538.8617
MEM 4024.921875 1684150538.9724
MEM 4024.921875 1684150539.0809
MEM 4024.921875 1684150539.1904
MEM 4024.921875 1684150539.2994
MEM 4024.921875 1684150539.4085
MEM 4020.632812 1684150539.5202
MEM 4020.632812 1684150539.6290
MEM 4020.632812 1684150539.7397
MEM 4172.203125 1684150539.8451
MEM 4172.203125 1684150539.9548
MEM 4025.210938 1684150540.0633
MEM 4172.222656 1684150540.1737
MEM 4172.214844 1684150540.2839
MEM 4172.214844 1684150540.3936
MEM 4172.222656 1684150540.5028
MEM 4172.222656 1684150540.6105
MEM 4172.214844 1684150540.7196
MEM 4172.214844 1684150540.8313
MEM 4172.214844 1684150540.9400
MEM 4151.996094 1684150541.0497
MEM 4103.863281 1684150541.1594
MEM 4072.453125 1684150541.2691
MEM 4025.214844 1684150541.3759
MEM 4025.214844 1684150541.4857
MEM 4127.718750 1684150541.5967
MEM 4172.214844 1684150541.7055
MEM 4172.214844 1684150541.8132
MEM 4172.214844 1684150541.9229
MEM 4146.914062 1684150542.0326
MEM 4113.425781 1684150542.1423
MEM 4082.773438 1684150542.2537
MEM 4049.734375 1684150542.3615
MEM 4025.214844 1684150542.4712
MEM 4025.214844 1684150542.5799
MEM 4132.593750 1684150542.6904
MEM 4172.214844 1684150542.7991
MEM 4172.214844 1684150542.9079
MEM 4172.214844 1684150543.0166
MEM 4159.050781 1684150543.1273
MEM 4122.972656 1684150543.2357
MEM 4089.210938 1684150543.3454
MEM 4063.839844 1684150543.4551
MEM 4028.941406 1684150543.5634
MEM 4141.558594 1684150543.6737
MEM 4172.214844 1684150543.7831
MEM 4172.214844 1684150543.8923
MEM 4172.214844 1684150544.0015
MEM 4172.214844 1684150544.1102
MEM 4138.746094 1684150544.2200
MEM 4121.003906 1684150544.3284
MEM 4094.253906 1684150544.4391
MEM 4063.878906 1684150544.5496
MEM 4031.542969 1684150544.6583
MEM 4098.238281 1684150544.7690
MEM 4172.214844 1684150544.8767
MEM 4172.214844 1684150544.9864
MEM 4172.214844 1684150545.0961
MEM 4172.214844 1684150545.2066
MEM 4157.062500 1684150545.3143
MEM 4120.972656 1684150545.4243
MEM 4081.156250 1684150545.5340
MEM 4056.777344 1684150545.6417
MEM 4055.214844 1684150545.7524
MEM 4027.421875 1684150545.8611
MEM 4045.722656 1684150545.9718
MEM 4172.218750 1684150546.0815
MEM 4172.218750 1684150546.1893
MEM 4172.218750 1684150546.2990
MEM 4172.218750 1684150546.4077
MEM 4160.585938 1684150546.5164
MEM 4100.570312 1684150546.6250
MEM 4047.980469 1684150546.7357
MEM 4034.597656 1684150546.8434
MEM 4172.218750 1684150546.9535
MEM 4172.218750 1684150547.0643
MEM 4172.218750 1684150547.1741
MEM 4159.218750 1684150547.2834
MEM 4130.207031 1684150547.3921
MEM 4103.800781 1684150547.5018
MEM 4074.058594 1684150547.6115
MEM 4052.691406 1684150547.7212
MEM 4029.421875 1684150547.8310
MEM 4149.722656 1684150547.9387
MEM 4172.218750 1684150548.0486
MEM 4172.218750 1684150548.1573
MEM 4172.218750 1684150548.2682
MEM 4172.218750 1684150548.3789
MEM 4150.500000 1684150548.4866
MEM 4114.175781 1684150548.5954
MEM 4086.437500 1684150548.7051
MEM 4072.023438 1684150548.8148
MEM 4044.222656 1684150548.9245
MEM 4025.222656 1684150549.0332
MEM 4025.222656 1684150549.1440
MEM 4172.222656 1684150549.2517
MEM 4172.222656 1684150549.3614
MEM 4172.222656 1684150549.4706
MEM 4172.222656 1684150549.5801
MEM 4131.574219 1684150549.6898
MEM 4100.937500 1684150549.7975
MEM 4087.222656 1684150549.9089
MEM 4044.730469 1684150550.0177
MEM 4025.222656 1684150550.1274
MEM 4172.222656 1684150550.2358
MEM 4172.222656 1684150550.3446
MEM 4172.222656 1684150550.4538
MEM 4172.222656 1684150550.5635
MEM 4172.222656 1684150550.6742
MEM 4146.214844 1684150550.7839
MEM 4120.824219 1684150550.8918
MEM 4104.210938 1684150551.0006
MEM 4130.316406 1684150551.1103
MEM 4172.097656 1684150551.2210
MEM 4172.097656 1684150551.3297
MEM 4172.097656 1684150551.4398
MEM 4154.226562 1684150551.5486
MEM 4121.574219 1684150551.6585
MEM 4121.574219 1684150551.7702
MEM 4317.976562 1684150551.8799
MEM 4409.519531 1684150551.9904
MEM 4123.539062 1684150552.0995
MEM 4029.351562 1684150552.2072
MEM 4065.578125 1684150552.3169
MEM 4065.578125 1684150552.4242
MEM 4065.578125 1684150552.5340
MEM 4065.578125 1684150552.6429
MEM 4065.578125 1684150552.7517
MEM 4065.578125 1684150552.8623
MEM 4065.578125 1684150552.9716
MEM 4065.578125 1684150553.0789
MEM 4065.578125 1684150553.1886
MEM 4065.578125 1684150553.2986
MEM 4065.578125 1684150553.4086
MEM 4065.578125 1684150553.5184
MEM 4065.578125 1684150553.6271
MEM 4065.578125 1684150553.7368
MEM 4065.578125 1684150553.8465
MEM 4065.578125 1684150553.9567
MEM 4065.519531 1684150554.0665
