CMDLINE c:\users\test\appdata\local\programs\python\python37\python.exe main.py
MEM 1.648438 1684221440.2270
MEM 23.191406 1684221440.3398
MEM 35.679688 1684221440.4509
MEM 42.527344 1684221440.5627
MEM 44.335938 1684221440.6744
MEM 44.363281 1684221440.7834
MEM 50.417969 1684221440.8942
MEM 50.648438 1684221441.0023
MEM 50.675781 1684221441.1100
MEM 52.449219 1684221441.2207
MEM 52.480469 1684221441.3294
MEM 53.507812 1684221441.4381
MEM 53.507812 1684221441.5498
MEM 93.460938 1684221441.6582
MEM 93.460938 1684221441.7678
MEM 101.093750 1684221441.8766
MEM 101.093750 1684221441.9863
MEM 103.562500 1684221442.0960
MEM 104.347656 1684221442.2057
MEM 107.285156 1684221442.3154
MEM 107.445312 1684221442.4256
MEM 107.445312 1684221442.5363
MEM 107.445312 1684221442.6460
MEM 107.445312 1684221442.7567
MEM 107.445312 1684221442.8635
MEM 134.390625 1684221442.9737
MEM 161.003906 1684221443.0846
MEM 169.121094 1684221443.1959
MEM 180.121094 1684221443.3053
MEM 184.457031 1684221443.4140
MEM 195.019531 1684221443.5253
MEM 201.632812 1684221443.6356
MEM 215.742188 1684221443.7456
MEM 219.773438 1684221443.8559
MEM 227.863281 1684221443.9663
MEM 313.363281 1684221444.0761
MEM 446.136719 1684221444.1868
MEM 466.062500 1684221444.2965
MEM 466.062500 1684221444.4072
MEM 468.515625 1684221444.5160
MEM 511.402344 1684221444.6239
MEM 511.402344 1684221444.7341
MEM 511.402344 1684221444.8398
MEM 511.402344 1684221444.9495
MEM 511.402344 1684221445.0602
MEM 511.402344 1684221445.1689
MEM 511.402344 1684221445.2777
MEM 511.402344 1684221445.3878
MEM 511.402344 1684221445.4994
MEM 512.175781 1684221445.6101
MEM 512.175781 1684221445.7219
MEM 512.175781 1684221445.8295
MEM 512.175781 1684221445.9403
MEM 512.175781 1684221446.0480
MEM 512.175781 1684221446.1581
MEM 512.175781 1684221446.2668
MEM 512.175781 1684221446.3753
MEM 512.175781 1684221446.4846
MEM 512.195312 1684221446.5942
MEM 512.195312 1684221446.7031
MEM 512.195312 1684221446.8105
MEM 512.195312 1684221446.9213
MEM 512.195312 1684221447.0310
MEM 512.195312 1684221447.1413
MEM 512.195312 1684221447.2524
MEM 512.195312 1684221447.3602
MEM 512.195312 1684221447.4685
MEM 512.195312 1684221447.5791
MEM 512.195312 1684221447.6877
MEM 512.195312 1684221447.7985
MEM 512.195312 1684221447.9093
MEM 512.195312 1684221448.0180
MEM 512.195312 1684221448.1260
MEM 512.195312 1684221448.2354
MEM 512.195312 1684221448.3462
MEM 512.195312 1684221448.4551
MEM 508.617188 1684221448.5638
MEM 508.617188 1684221448.6724
MEM 508.617188 1684221448.7831
MEM 511.269531 1684221448.8938
MEM 610.191406 1684221449.0035
MEM 815.992188 1684221449.1122
MEM 942.285156 1684221449.2204
MEM 1079.171875 1684221449.3301
MEM 1245.937500 1684221449.4398
MEM 1425.367188 1684221449.5485
MEM 1609.300781 1684221449.6582
MEM 1733.429688 1684221449.7689
MEM 1823.378906 1684221449.8766
MEM 2008.148438 1684221449.9864
MEM 2166.613281 1684221450.0951
