CMDLINE c:\users\test\appdata\local\programs\python\python37\python.exe main.py
MEM 1.640625 1684236165.8635
MEM 23.109375 1684236165.9706
MEM 35.578125 1684236166.0808
MEM 81.621094 1684236166.1894
MEM 131.015625 1684236166.3001
MEM 176.757812 1684236166.4097
MEM 194.371094 1684236166.5191
MEM 201.136719 1684236166.6277
MEM 218.343750 1684236166.7357
MEM 226.503906 1684236166.8455
MEM 279.621094 1684236166.9554
MEM 405.601562 1684236167.0657
MEM 699.562500 1684236167.1754
MEM 466.589844 1684236167.2851
MEM 469.425781 1684236167.3948
MEM 511.957031 1684236167.5030
MEM 511.957031 1684236167.6116
MEM 511.957031 1684236167.7208
MEM 511.957031 1684236167.8305
MEM 511.957031 1684236167.9392
MEM 511.957031 1684236168.0483
MEM 511.957031 1684236168.1587
MEM 511.957031 1684236168.2686
MEM 511.957031 1684236168.3804
MEM 512.718750 1684236168.4907
MEM 512.718750 1684236168.6024
MEM 512.718750 1684236168.7129
MEM 512.718750 1684236168.8229
MEM 512.718750 1684236168.9346
MEM 512.718750 1684236169.0443
MEM 512.718750 1684236169.1533
MEM 512.718750 1684236169.2649
MEM 512.718750 1684236169.3758
MEM 512.757812 1684236169.4857
MEM 512.757812 1684236169.5955
MEM 512.757812 1684236169.7049
MEM 512.757812 1684236169.8156
MEM 512.757812 1684236169.9247
MEM 512.757812 1684236170.0349
MEM 512.757812 1684236170.1445
MEM 512.757812 1684236170.2540
MEM 512.757812 1684236170.3627
MEM 512.765625 1684236170.4715
MEM 512.765625 1684236170.5802
MEM 512.765625 1684236170.6888
MEM 512.765625 1684236170.7983
MEM 512.765625 1684236170.9070
MEM 512.765625 1684236171.0183
MEM 512.765625 1684236171.1275
MEM 512.765625 1684236171.2369
MEM 512.765625 1684236171.3472
MEM 509.238281 1684236171.4546
MEM 509.238281 1684236171.5643
MEM 509.238281 1684236171.6755
MEM 560.753906 1684236171.7822
MEM 690.335938 1684236171.8919
MEM 830.449219 1684236172.0021
MEM 960.992188 1684236172.1119
MEM 1076.558594 1684236172.2206
MEM 1248.859375 1684236172.3313
MEM 1434.187500 1684236172.4420
MEM 1594.457031 1684236172.5487
MEM 1736.847656 1684236172.6584
MEM 1839.132812 1684236172.7671
MEM 2002.558594 1684236172.8788
MEM 2173.285156 1684236172.9855
MEM 2364.921875 1684236173.0953
