CMDLINE c:\users\test\appdata\local\programs\python\python37\python.exe main.py
MEM 1.640625 1684229200.7764
MEM 23.519531 1684229200.8889
MEM 36.093750 1684229201.0006
MEM 83.113281 1684229201.1103
MEM 132.023438 1684229201.2213
MEM 176.074219 1684229201.3300
MEM 193.929688 1684229201.4409
MEM 200.941406 1684229201.5490
MEM 218.531250 1684229201.6588
MEM 226.671875 1684229201.7685
MEM 287.582031 1684229201.8774
MEM 412.261719 1684229201.9871
MEM 699.765625 1684229202.0958
MEM 470.742188 1684229202.2055
MEM 513.054688 1684229202.3142
MEM 513.054688 1684229202.4243
MEM 513.054688 1684229202.5337
MEM 513.054688 1684229202.6443
MEM 513.054688 1684229202.7549
MEM 513.054688 1684229202.8651
MEM 513.054688 1684229202.9746
MEM 513.054688 1684229203.0846
MEM 513.054688 1684229203.1950
MEM 513.062500 1684229203.3055
MEM 513.062500 1684229203.4155
MEM 513.062500 1684229203.5271
MEM 513.062500 1684229203.6378
MEM 513.062500 1684229203.7495
MEM 513.062500 1684229203.8601
MEM 513.062500 1684229203.9718
MEM 513.062500 1684229204.0792
MEM 513.062500 1684229204.1894
MEM 513.062500 1684229204.2986
MEM 513.062500 1684229204.4103
MEM 513.062500 1684229204.5187
MEM 513.062500 1684229204.6264
MEM 513.062500 1684229204.7365
MEM 513.062500 1684229204.8456
MEM 513.062500 1684229204.9553
MEM 513.062500 1684229205.0641
MEM 513.062500 1684229205.1735
MEM 513.062500 1684229205.2829
MEM 513.062500 1684229205.3929
MEM 513.062500 1684229205.5022
MEM 513.062500 1684229205.6109
MEM 513.062500 1684229205.7210
MEM 513.062500 1684229205.8298
MEM 513.062500 1684229205.9404
MEM 513.062500 1684229206.0490
MEM 509.500000 1684229206.1710
MEM 509.500000 1684229206.2837
MEM 509.500000 1684229206.3934
MEM 513.734375 1684229206.5021
MEM 661.378906 1684229206.6108
MEM 844.855469 1684229206.7205
MEM 971.031250 1684229206.8302
MEM 1081.335938 1684229206.9419
MEM 1254.984375 1684229207.0526
MEM 1414.851562 1684229207.1583
MEM 1597.230469 1684229207.2670
MEM 1734.027344 1684229207.3781
MEM 1831.683594 1684229207.4868
MEM 1995.703125 1684229207.5955
MEM 2203.113281 1684229207.7052
MEM 2357.878906 1684229207.8129
MEM 2529.226562 1684229207.9236
MEM 2700.089844 1684229208.0333
MEM 2876.164062 1684229208.1430
MEM 3051.457031 1684229208.2527
MEM 3176.808594 1684229208.3624
MEM 3335.886719 1684229208.4721
MEM 3541.164062 1684229208.5798
MEM 3677.039062 1684229208.6907
MEM 3853.003906 1684229208.7991
MEM 3998.449219 1684229208.9079
MEM 4027.574219 1684229209.0175
MEM 4028.871094 1684229209.1256
MEM 3998.195312 1684229209.2348
MEM 4154.625000 1684229209.3455
MEM 4160.742188 1684229209.4554
MEM 4161.019531 1684229209.5633
MEM 4161.292969 1684229209.6706
MEM 4162.250000 1684229209.7821
MEM 4162.250000 1684229209.8919
MEM 4149.718750 1684229210.0026
MEM 4123.273438 1684229210.1132
MEM 4081.839844 1684229210.2209
MEM 4031.976562 1684229210.3286
MEM 4015.253906 1684229210.4394
MEM 4162.253906 1684229210.5491
MEM 4162.253906 1684229210.6588
MEM 4162.253906 1684229210.7686
MEM 4162.253906 1684229210.8770
MEM 4146.941406 1684229210.9857
MEM 4100.578125 1684229211.0944
MEM 4068.191406 1684229211.2061
MEM 4026.050781 1684229211.3159
MEM 4016.937500 1684229211.4236
MEM 4162.253906 1684229211.5333
MEM 4162.253906 1684229211.6440
MEM 4162.261719 1684229211.7527
MEM 4147.089844 1684229211.8614
MEM 4114.675781 1684229211.9711
MEM 4063.632812 1684229212.0788
MEM 4015.546875 1684229212.1865
MEM 4079.332031 1684229212.2979
MEM 4162.265625 1684229212.4066
MEM 4162.265625 1684229212.5173
MEM 4162.265625 1684229212.6270
MEM 4126.914062 1684229212.7357
MEM 4097.371094 1684229212.8454
MEM 4062.375000 1684229212.9553
MEM 4015.269531 1684229213.0641
MEM 4162.265625 1684229213.1738
MEM 4162.265625 1684229213.2827
MEM 4162.265625 1684229213.3934
MEM 4162.265625 1684229213.5021
MEM 4131.183594 1684229213.6116
MEM 4093.046875 1684229213.7213
MEM 4053.269531 1684229213.8300
MEM 4015.273438 1684229213.9390
MEM 4162.269531 1684229214.0487
MEM 4162.269531 1684229214.1584
MEM 4162.273438 1684229214.2671
MEM 4155.035156 1684229214.3768
MEM 4109.769531 1684229214.4865
MEM 4076.308594 1684229214.5960
MEM 4031.273438 1684229214.7047
MEM 4015.277344 1684229214.8144
MEM 4162.273438 1684229214.9231
MEM 4162.273438 1684229215.0328
MEM 4162.273438 1684229215.1405
MEM 4154.164062 1684229215.2513
MEM 4108.167969 1684229215.3620
MEM 4062.394531 1684229215.4704
MEM 4015.281250 1684229215.5801
MEM 4162.277344 1684229215.6898
MEM 4162.281250 1684229215.7993
MEM 4162.281250 1684229215.9080
MEM 4162.281250 1684229216.0177
MEM 4130.437500 1684229216.1254
MEM 4089.285156 1684229216.2351
MEM 4046.421875 1684229216.3448
MEM 4016.800781 1684229216.4565
MEM 4162.285156 1684229216.5633
MEM 4162.285156 1684229216.6720
MEM 4162.289062 1684229216.7807
MEM 4148.664062 1684229216.8902
MEM 4108.671875 1684229217.0019
MEM 4081.988281 1684229217.1116
MEM 4049.972656 1684229217.2213
MEM 4015.292969 1684229217.3300
MEM 4094.984375 1684229217.4395
MEM 4162.289062 1684229217.5502
MEM 4162.300781 1684229217.6599
MEM 4162.300781 1684229217.7676
MEM 4138.996094 1684229217.8771
MEM 4108.277344 1684229217.9868
MEM 4067.910156 1684229218.0965
MEM 4025.093750 1684229218.2062
MEM 4045.371094 1684229218.3167
MEM 4162.300781 1684229218.4244
MEM 4162.300781 1684229218.5331
MEM 4162.300781 1684229218.6428
MEM 4143.078125 1684229218.7535
MEM 4107.625000 1684229218.8613
MEM 4061.515625 1684229218.9700
MEM 4031.843750 1684229219.0797
MEM 4056.996094 1684229219.1894
MEM 4162.300781 1684229219.2999
MEM 4162.300781 1684229219.4086
MEM 4162.300781 1684229219.5183
MEM 4149.187500 1684229219.6280
MEM 4099.863281 1684229219.7367
MEM 4064.609375 1684229219.8464
MEM 4015.304688 1684229219.9561
MEM 4162.300781 1684229220.0638
MEM 4162.300781 1684229220.1745
MEM 4162.300781 1684229220.2822
MEM 4161.628906 1684229220.3919
MEM 4120.507812 1684229220.5017
MEM 4080.699219 1684229220.6114
MEM 4039.152344 1684229220.7201
MEM 4015.167969 1684229220.8296
MEM 4162.164062 1684229220.9403
MEM 4162.164062 1684229221.0490
MEM 4162.164062 1684229221.1567
MEM 4162.164062 1684229221.2667
MEM 4082.859375 1684229221.3784
MEM 4035.242188 1684229221.4871
MEM 4015.167969 1684229221.5960
MEM 4111.734375 1684229221.7054
MEM 4111.746094 1684229221.8144
MEM 4111.796875 1684229221.9236
MEM 4111.796875 1684229222.0329
MEM 4111.800781 1684229222.1431
MEM 4111.800781 1684229222.2535
MEM 4111.800781 1684229222.3632
MEM 4118.421875 1684229222.4705
MEM 4118.421875 1684229222.5792
MEM 4118.421875 1684229222.6893
MEM 4118.421875 1684229222.8000
MEM 4118.421875 1684229222.9085
MEM 4118.421875 1684229223.0185
MEM 4118.421875 1684229223.1294
MEM 4118.421875 1684229223.2398
MEM 4117.871094 1684229223.3498
MEM 4118.460938 1684229223.4570
MEM 4118.460938 1684229223.5677
MEM 4118.460938 1684229223.6745
MEM 4118.460938 1684229223.7844
MEM 4118.460938 1684229223.8921
MEM 4118.460938 1684229224.0016
MEM 4118.460938 1684229224.1118
MEM 4118.460938 1684229224.2207
MEM 4118.496094 1684229224.3324
MEM 4118.496094 1684229224.4385
MEM 4118.496094 1684229224.5496
MEM 4118.496094 1684229224.6572
MEM 4118.496094 1684229224.7670
MEM 4118.496094 1684229224.8781
MEM 4118.496094 1684229224.9859
MEM 4118.496094 1684229225.0951
MEM 4118.496094 1684229225.2052
MEM 4118.500000 1684229225.3142
MEM 4118.500000 1684229225.4225
MEM 4118.500000 1684229225.5332
MEM 4118.500000 1684229225.6440
MEM 4118.500000 1684229225.7528
MEM 4118.500000 1684229225.8609
MEM 4118.500000 1684229225.9708
MEM 4118.500000 1684229226.0803
MEM 4118.500000 1684229226.1890
MEM 4114.230469 1684229226.2967
MEM 4114.230469 1684229226.4065
MEM 4114.230469 1684229226.5168
MEM 4037.925781 1684229226.6265
MEM 4164.804688 1684229226.7362
MEM 4164.804688 1684229226.8469
MEM 4164.804688 1684229226.9547
MEM 4164.804688 1684229227.0644
MEM 4164.796875 1684229227.1741
MEM 4164.796875 1684229227.2848
MEM 4164.804688 1684229227.3935
MEM 4164.804688 1684229227.5012
MEM 4106.421875 1684229227.6119
MEM 4051.464844 1684229227.7216
MEM 4017.800781 1684229227.8303
MEM 4164.796875 1684229227.9400
MEM 4164.796875 1684229228.0475
MEM 4164.796875 1684229228.1592
MEM 4164.796875 1684229228.2679
MEM 4119.796875 1684229228.3776
MEM 4076.273438 1684229228.4863
MEM 4045.039062 1684229228.5950
MEM 4017.800781 1684229228.7047
MEM 4142.550781 1684229228.8144
MEM 4164.796875 1684229228.9239
MEM 4164.796875 1684229229.0326
MEM 4164.796875 1684229229.1423
MEM 4143.015625 1684229229.2522
MEM 4101.320312 1684229229.3609
MEM 4063.796875 1684229229.4706
MEM 4022.917969 1684229229.5803
MEM 4080.804688 1684229229.6900
MEM 4164.796875 1684229229.7987
MEM 4164.796875 1684229229.9084
MEM 4164.796875 1684229230.0181
MEM 4144.765625 1684229230.1278
MEM 4113.707031 1684229230.2365
MEM 4070.351562 1684229230.3462
MEM 4030.976562 1684229230.4559
MEM 4095.382812 1684229230.5656
MEM 4164.800781 1684229230.6744
MEM 4164.808594 1684229230.7831
MEM 4164.828125 1684229230.8928
MEM 4142.312500 1684229231.0015
MEM 4094.343750 1684229231.1109
MEM 4052.257812 1684229231.2206
MEM 4022.023438 1684229231.3293
MEM 4158.835938 1684229231.4390
MEM 4164.828125 1684229231.5487
MEM 4164.828125 1684229231.6574
MEM 4164.828125 1684229231.7682
MEM 4129.828125 1684229231.8778
MEM 4094.332031 1684229231.9885
MEM 4051.828125 1684229232.0962
MEM 4017.832031 1684229232.2069
MEM 4164.828125 1684229232.3146
MEM 4164.828125 1684229232.4241
MEM 4164.828125 1684229232.5338
MEM 4164.828125 1684229232.6435
MEM 4141.804688 1684229232.7522
MEM 4085.382812 1684229232.8609
MEM 4037.828125 1684229232.9714
MEM 4017.832031 1684229233.0801
MEM 4164.828125 1684229233.1898
MEM 4164.828125 1684229233.2985
MEM 4164.828125 1684229233.4079
MEM 4146.632812 1684229233.5166
MEM 4102.324219 1684229233.6263
MEM 4068.214844 1684229233.7360
MEM 4033.718750 1684229233.8457
MEM 4017.832031 1684229233.9554
MEM 4164.828125 1684229234.0639
MEM 4164.828125 1684229234.1727
MEM 4164.828125 1684229234.2834
MEM 4162.148438 1684229234.3921
MEM 4128.878906 1684229234.5018
MEM 4084.320312 1684229234.6115
MEM 4033.882812 1684229234.7222
MEM 4017.832031 1684229234.8339
MEM 4164.828125 1684229234.9416
MEM 4164.828125 1684229235.0493
MEM 4164.828125 1684229235.1590
MEM 4164.828125 1684229235.2687
MEM 4122.597656 1684229235.3804
MEM 4056.222656 1684229235.4861
MEM 4036.730469 1684229235.5976
MEM 4017.832031 1684229235.7053
MEM 4164.828125 1684229235.8140
MEM 4164.828125 1684229235.9237
MEM 4164.828125 1684229236.0334
MEM 4164.828125 1684229236.1431
MEM 4104.109375 1684229236.2516
MEM 4065.093750 1684229236.3613
MEM 4031.164062 1684229236.4700
MEM 4017.832031 1684229236.5797
MEM 4164.828125 1684229236.6894
MEM 4164.828125 1684229236.7991
MEM 4164.828125 1684229236.9079
MEM 4142.914062 1684229237.0173
MEM 4103.972656 1684229237.1280
MEM 4060.445312 1684229237.2367
MEM 4020.429688 1684229237.3454
MEM 4017.832031 1684229237.4561
MEM 4164.828125 1684229237.5658
MEM 4164.828125 1684229237.6745
MEM 4164.828125 1684229237.7842
MEM 4164.828125 1684229237.8949
MEM 4126.375000 1684229238.0046
MEM 4081.804688 1684229238.1103
MEM 4061.402344 1684229238.2217
MEM 4065.195312 1684229238.3295
MEM 4079.808594 1684229238.4392
MEM 4090.585938 1684229238.5489
MEM 4102.585938 1684229238.6598
