CMDLINE c:\users\test\appdata\local\programs\python\python37\python.exe main.py
MEM 1.687500 1684155816.4519
MEM 23.058594 1684155816.5656
MEM 35.156250 1684155816.6733
MEM 42.429688 1684155816.7843
MEM 44.449219 1684155816.8915
MEM 44.476562 1684155817.0017
MEM 44.476562 1684155817.1114
MEM 50.773438 1684155817.2211
MEM 50.800781 1684155817.3298
MEM 52.570312 1684155817.4391
MEM 52.601562 1684155817.5495
MEM 53.757812 1684155817.6582
MEM 53.757812 1684155817.7683
MEM 94.023438 1684155817.8794
MEM 94.023438 1684155817.9871
MEM 101.367188 1684155818.0946
MEM 101.652344 1684155818.2048
MEM 103.929688 1684155818.3160
MEM 104.585938 1684155818.4231
MEM 107.367188 1684155818.5332
MEM 107.656250 1684155818.6439
MEM 107.656250 1684155818.7526
MEM 107.656250 1684155818.8623
MEM 107.656250 1684155818.9731
MEM 107.656250 1684155819.0818
MEM 136.546875 1684155819.1915
MEM 164.113281 1684155819.3022
MEM 169.148438 1684155819.4097
MEM 178.519531 1684155819.5192
MEM 182.101562 1684155819.6285
MEM 193.113281 1684155819.7374
MEM 199.179688 1684155819.8471
MEM 213.234375 1684155819.9569
MEM 218.113281 1684155820.0665
MEM 224.738281 1684155820.1744
MEM 261.421875 1684155820.2852
MEM 389.449219 1684155820.3945
MEM 616.550781 1684155820.5017
MEM 466.125000 1684155820.6124
MEM 466.125000 1684155820.7216
MEM 470.750000 1684155820.8294
MEM 550.390625 1684155820.9392
MEM 682.382812 1684155821.0499
MEM 970.726562 1684155821.1587
MEM 794.761719 1684155821.2694
MEM 738.066406 1684155821.3786
MEM 874.890625 1684155821.4865
MEM 714.890625 1684155821.5946
MEM 592.921875 1684155821.7051
MEM 608.492188 1684155821.8146
MEM 586.464844 1684155821.9253
MEM 586.464844 1684155822.0330
MEM 586.464844 1684155822.1427
MEM 586.464844 1684155822.2524
MEM 586.464844 1684155822.3601
MEM 586.464844 1684155822.4692
MEM 586.464844 1684155822.5796
MEM 586.464844 1684155822.6895
MEM 586.464844 1684155822.7993
MEM 586.464844 1684155822.9100
MEM 586.464844 1684155823.0172
MEM 586.464844 1684155823.1265
MEM 586.464844 1684155823.2353
MEM 586.464844 1684155823.3440
MEM 586.464844 1684155823.4542
MEM 586.464844 1684155823.5635
MEM 586.464844 1684155823.6737
MEM 586.464844 1684155823.7836
MEM 586.464844 1684155823.8924
MEM 586.464844 1684155824.0022
MEM 586.464844 1684155824.1122
MEM 586.464844 1684155824.2210
MEM 586.464844 1684155824.3302
MEM 586.464844 1684155824.4381
MEM 586.464844 1684155824.5487
MEM 586.464844 1684155824.6579
MEM 586.464844 1684155824.7688
MEM 587.609375 1684155824.8778
MEM 587.609375 1684155824.9878
MEM 587.609375 1684155825.0979
MEM 587.609375 1684155825.2079
MEM 587.609375 1684155825.3181
MEM 587.609375 1684155825.4273
MEM 587.609375 1684155825.5366
MEM 587.609375 1684155825.6457
MEM 587.609375 1684155825.7540
MEM 583.539062 1684155825.8608
MEM 583.539062 1684155825.9695
MEM 583.539062 1684155826.0802
MEM 583.539062 1684155826.1889
MEM 761.125000 1684155826.3006
MEM 876.808594 1684155826.4089
MEM 1019.109375 1684155826.5196
MEM 1157.683594 1684155826.6278
MEM 1283.152344 1684155826.7364
MEM 1439.222656 1684155826.8462
MEM 1614.203125 1684155826.9576
MEM 1731.312500 1684155827.0673
MEM 1822.519531 1684155827.1765
MEM 1986.046875 1684155827.2832
MEM 2182.847656 1684155827.3921
MEM 2381.136719 1684155827.5026
MEM 2542.664062 1684155827.6114
MEM 2704.742188 1684155827.7215
MEM 2879.257812 1684155827.8302
MEM 3030.527344 1684155827.9395
MEM 3078.402344 1684155828.0512
MEM 3208.125000 1684155828.1605
MEM 3374.152344 1684155828.2710
MEM 3533.761719 1684155828.3806
MEM 3698.609375 1684155828.4925
MEM 3859.953125 1684155828.6027
MEM 4018.261719 1684155828.7124
MEM 4030.371094 1684155828.8221
MEM 4031.691406 1684155828.9340
MEM 4031.742188 1684155829.0452
MEM 3996.082031 1684155829.1560
MEM 4028.636719 1684155829.2671
MEM 3909.398438 1684155829.3773
MEM 3966.730469 1684155829.4870
MEM 3986.566406 1684155829.5953
MEM 4025.125000 1684155829.7061
MEM 3948.644531 1684155829.8158
MEM 3925.664062 1684155829.9236
MEM 3998.601562 1684155830.0343
MEM 4033.136719 1684155830.1430
MEM 3886.140625 1684155830.2527
MEM 3896.519531 1684155830.3604
MEM 3954.519531 1684155830.4691
MEM 4006.359375 1684155830.5788
MEM 4027.765625 1684155830.6896
MEM 4033.136719 1684155830.8002
MEM 4033.136719 1684155830.9089
MEM 4020.101562 1684155831.0172
MEM 4033.136719 1684155831.1275
MEM 4033.136719 1684155831.2372
MEM 4033.136719 1684155831.3479
MEM 4033.136719 1684155831.4566
MEM 3908.546875 1684155831.5663
MEM 3886.140625 1684155831.6760
MEM 4033.136719 1684155831.7849
MEM 4005.960938 1684155831.8936
MEM 4033.140625 1684155832.0023
MEM 4033.140625 1684155832.1120
MEM 4033.140625 1684155832.2217
MEM 4033.140625 1684155832.3294
MEM 4033.140625 1684155832.4392
MEM 4033.140625 1684155832.5495
MEM 4033.140625 1684155832.6593
MEM 3933.222656 1684155832.7680
MEM 3928.140625 1684155832.8785
MEM 3915.757812 1684155832.9882
MEM 3926.945312 1684155833.0941
MEM 3886.144531 1684155833.2038
MEM 3908.195312 1684155833.3141
MEM 3917.257812 1684155833.4220
MEM 3960.035156 1684155833.5327
MEM 3886.144531 1684155833.6424
MEM 3886.144531 1684155833.7531
MEM 3886.144531 1684155833.8618
MEM 3886.144531 1684155833.9715
MEM 4033.140625 1684155834.0802
MEM 4033.140625 1684155834.1899
MEM 4033.140625 1684155834.2977
MEM 4033.140625 1684155834.4074
MEM 4033.164062 1684155834.5181
MEM 4033.164062 1684155834.6268
MEM 4023.554688 1684155834.7361
MEM 4005.066406 1684155834.8458
MEM 4019.136719 1684155834.9555
MEM 3940.753906 1684155835.0628
MEM 3990.546875 1684155835.1735
MEM 4001.347656 1684155835.2822
MEM 4029.656250 1684155835.3929
MEM 3930.535156 1684155835.5016
MEM 3959.523438 1684155835.6103
MEM 3918.042969 1684155835.7210
MEM 3905.789062 1684155835.8290
MEM 4033.167969 1684155835.9397
MEM 4033.167969 1684155836.0484
MEM 3923.343750 1684155836.1571
MEM 3892.808594 1684155836.2679
MEM 3886.171875 1684155836.3766
MEM 3892.664062 1684155836.4861
MEM 3923.824219 1684155836.5969
MEM 3921.406250 1684155836.7057
MEM 4033.167969 1684155836.8174
MEM 4033.167969 1684155836.9271
MEM 4033.167969 1684155837.0338
MEM 4033.167969 1684155837.1426
MEM 4033.167969 1684155837.2517
MEM 4033.167969 1684155837.3614
MEM 4033.167969 1684155837.4701
MEM 4000.832031 1684155837.5798
MEM 4033.167969 1684155837.6895
MEM 4031.316406 1684155837.7992
MEM 4028.707031 1684155837.9094
MEM 4024.582031 1684155838.0191
MEM 4033.167969 1684155838.1288
MEM 4033.167969 1684155838.2374
MEM 4033.167969 1684155838.3471
MEM 3986.640625 1684155838.4548
MEM 4029.945312 1684155838.5635
MEM 3907.343750 1684155838.6738
MEM 3896.351562 1684155838.7835
MEM 3892.589844 1684155838.8932
MEM 3894.476562 1684155839.0029
MEM 4033.351562 1684155839.1103
MEM 3886.355469 1684155839.2210
MEM 3913.730469 1684155839.3298
MEM 3993.085938 1684155839.4394
MEM 3982.921875 1684155839.5490
MEM 3982.933594 1684155839.6592
MEM 3982.968750 1684155839.7669
MEM 3982.968750 1684155839.8766
