CMDLINE c:\users\test\appdata\local\programs\python\python37\python.exe main.py
MEM 1.570312 1684156672.9274
MEM 23.093750 1684156673.0361
MEM 35.296875 1684156673.1428
MEM 53.859375 1684156673.2528
MEM 123.546875 1684156673.3636
MEM 160.519531 1684156673.4713
MEM 190.558594 1684156673.5783
MEM 199.375000 1684156673.6890
MEM 216.628906 1684156673.7973
MEM 225.167969 1684156673.9073
MEM 270.000000 1684156674.0179
MEM 397.183594 1684156674.1286
MEM 696.640625 1684156674.2393
MEM 465.812500 1684156674.3496
MEM 466.648438 1684156674.4609
MEM 501.031250 1684156674.5728
MEM 593.523438 1684156674.6847
MEM 722.925781 1684156674.7950
MEM 727.316406 1684156674.9062
MEM 650.160156 1684156675.0169
MEM 874.281250 1684156675.1252
MEM 587.269531 1684156675.2357
MEM 587.683594 1684156675.3458
MEM 616.464844 1684156675.4555
MEM 646.250000 1684156675.5647
MEM 586.964844 1684156675.6739
MEM 586.964844 1684156675.7821
MEM 586.964844 1684156675.8932
MEM 586.964844 1684156676.0030
MEM 586.964844 1684156676.1131
MEM 586.964844 1684156676.2210
MEM 586.964844 1684156676.3295
MEM 586.964844 1684156676.4404
MEM 586.964844 1684156676.5511
MEM 587.003906 1684156676.6583
MEM 587.003906 1684156676.7680
MEM 587.003906 1684156676.8770
MEM 587.003906 1684156676.9868
MEM 587.003906 1684156677.0951
MEM 587.003906 1684156677.2054
MEM 587.003906 1684156677.3140
MEM 587.003906 1684156677.4234
MEM 587.152344 1684156677.5338
MEM 587.152344 1684156677.6441
MEM 587.152344 1684156677.7528
MEM 587.152344 1684156677.8614
MEM 587.152344 1684156677.9721
MEM 587.152344 1684156678.0807
MEM 587.152344 1684156678.1906
MEM 587.152344 1684156678.3012
MEM 587.152344 1684156678.4100
MEM 587.152344 1684156678.5167
MEM 587.152344 1684156678.6274
MEM 587.152344 1684156678.7384
MEM 587.152344 1684156678.8471
MEM 587.152344 1684156678.9558
MEM 587.152344 1684156679.0647
MEM 587.152344 1684156679.1743
MEM 587.152344 1684156679.2833
MEM 587.152344 1684156679.3928
MEM 582.894531 1684156679.5029
MEM 582.894531 1684156679.6116
MEM 582.894531 1684156679.7207
MEM 619.781250 1684156679.8300
MEM 806.480469 1684156679.9397
MEM 930.605469 1684156680.0489
MEM 1062.796875 1684156680.1596
MEM 1225.855469 1684156680.2671
MEM 1412.761719 1684156680.3768
MEM 1581.425781 1684156680.4876
MEM 1706.644531 1684156680.5990
MEM 1780.460938 1684156680.7077
MEM 1960.203125 1684156680.8176
MEM 2130.050781 1684156680.9249
MEM 2314.230469 1684156681.0336
MEM 2480.046875 1684156681.1444
MEM 2644.718750 1684156681.2505
MEM 2822.460938 1684156681.3620
MEM 2999.250000 1684156681.4726
MEM 3139.968750 1684156681.5825
MEM 3294.804688 1684156681.6908
MEM 3466.605469 1684156681.8015
MEM 3612.726562 1684156681.9108
MEM 3791.488281 1684156682.0206
MEM 3965.695312 1684156682.1319
MEM 4030.648438 1684156682.2436
MEM 4030.714844 1684156682.3555
MEM 4032.007812 1684156682.4669
MEM 4022.187500 1684156682.5785
MEM 3885.968750 1684156682.6895
MEM 3923.386719 1684156682.7988
MEM 3971.359375 1684156682.9076
MEM 3987.058594 1684156683.0187
MEM 4011.968750 1684156683.1268
MEM 4032.976562 1684156683.2368
MEM 3911.175781 1684156683.3456
MEM 3988.574219 1684156683.4552
MEM 4032.968750 1684156683.5639
MEM 3885.972656 1684156683.6736
MEM 3899.445312 1684156683.7839
MEM 3915.968750 1684156683.8935
MEM 3932.324219 1684156684.0022
MEM 3977.968750 1684156684.1109
MEM 4032.968750 1684156684.2216
MEM 3885.972656 1684156684.3303
MEM 3935.429688 1684156684.4421
MEM 4001.683594 1684156684.5528
MEM 4032.968750 1684156684.6625
MEM 3885.972656 1684156684.7742
MEM 3900.832031 1684156684.8859
MEM 3924.750000 1684156684.9976
MEM 3947.968750 1684156685.1093
MEM 3960.058594 1684156685.2190
MEM 3976.312500 1684156685.3297
MEM 4009.582031 1684156685.4391
MEM 4031.996094 1684156685.5468
MEM 4032.968750 1684156685.6585
MEM 4032.968750 1684156685.7672
MEM 4032.968750 1684156685.8771
MEM 4032.968750 1684156685.9863
MEM 4032.968750 1684156686.0941
MEM 4032.968750 1684156686.2028
MEM 3885.972656 1684156686.3125
MEM 3909.875000 1684156686.4244
MEM 3948.207031 1684156686.5347
MEM 3987.664062 1684156686.6414
MEM 4027.968750 1684156686.7522
MEM 4028.527344 1684156686.8639
MEM 4030.300781 1684156686.9726
MEM 4018.855469 1684156687.0823
MEM 4000.390625 1684156687.1900
MEM 4026.894531 1684156687.2998
MEM 4032.968750 1684156687.4077
MEM 4032.968750 1684156687.5171
MEM 4032.968750 1684156687.6278
MEM 4032.968750 1684156687.7365
MEM 4032.992188 1684156687.8473
MEM 4032.992188 1684156687.9564
MEM 4032.992188 1684156688.0671
MEM 4032.992188 1684156688.1748
MEM 4032.992188 1684156688.2857
MEM 3985.000000 1684156688.3924
MEM 3885.996094 1684156688.5011
MEM 3911.652344 1684156688.6108
MEM 3946.964844 1684156688.7215
MEM 3944.628906 1684156688.8312
MEM 3925.417969 1684156688.9379
MEM 3911.945312 1684156689.0487
MEM 3918.570312 1684156689.1579
MEM 3955.066406 1684156689.2686
MEM 3981.898438 1684156689.3773
MEM 4022.371094 1684156689.4870
MEM 4032.992188 1684156689.5951
MEM 4032.992188 1684156689.7053
MEM 4032.992188 1684156689.8150
MEM 4032.992188 1684156689.9237
MEM 4032.992188 1684156690.0324
MEM 4032.992188 1684156690.1431
MEM 4032.992188 1684156690.2518
MEM 4032.992188 1684156690.3615
MEM 3973.000000 1684156690.4722
MEM 3885.996094 1684156690.5830
MEM 3903.992188 1684156690.6927
MEM 3912.246094 1684156690.8025
MEM 3891.757812 1684156690.9139
MEM 3892.828125 1684156691.0246
MEM 3917.144531 1684156691.1363
MEM 3930.144531 1684156691.2480
MEM 3966.199219 1684156691.3597
MEM 4003.718750 1684156691.4704
MEM 4032.992188 1684156691.5791
MEM 4032.992188 1684156691.6907
MEM 3929.042969 1684156691.8004
MEM 4005.992188 1684156691.9096
MEM 4033.000000 1684156692.0183
MEM 3982.496094 1684156692.1277
MEM 3982.523438 1684156692.2357
MEM 3982.542969 1684156692.3461
MEM 3993.242188 1684156692.4560
MEM 3988.617188 1684156692.5664
MEM 3988.617188 1684156692.6771
MEM 3988.617188 1684156692.7851
MEM 3988.617188 1684156692.8942
MEM 3988.617188 1684156693.0040
MEM 3988.617188 1684156693.1144
MEM 3988.617188 1684156693.2233
MEM 3988.613281 1684156693.3317
MEM 3988.613281 1684156693.4426
MEM 3988.613281 1684156693.5483
MEM 3988.613281 1684156693.6578
MEM 3988.613281 1684156693.7685
MEM 3988.613281 1684156693.8772
MEM 3988.613281 1684156693.9870
MEM 3988.613281 1684156694.0968
MEM 3988.613281 1684156694.2067
MEM 3988.613281 1684156694.3166
MEM 3988.613281 1684156694.4246
MEM 3988.617188 1684156694.5332
MEM 3988.617188 1684156694.6427
MEM 3988.617188 1684156694.7525
MEM 3988.617188 1684156694.8614
MEM 3988.617188 1684156694.9704
MEM 3988.617188 1684156695.0792
MEM 3988.617188 1684156695.1900
MEM 3988.617188 1684156695.2999
MEM 3988.621094 1684156695.4107
MEM 3988.621094 1684156695.5194
MEM 3988.621094 1684156695.6299
MEM 3988.621094 1684156695.7402
MEM 3988.621094 1684156695.8469
MEM 3988.621094 1684156695.9564
MEM 3988.621094 1684156696.0672
MEM 3988.621094 1684156696.1764
MEM 3988.621094 1684156696.2847
MEM 3983.945312 1684156696.4032
MEM 3983.945312 1684156696.5179
MEM 3983.945312 1684156696.6266
MEM 3983.945312 1684156696.7363
MEM 4023.496094 1684156696.8475
MEM 4034.507812 1684156696.9552
MEM 3903.500000 1684156697.0649
MEM 4034.500000 1684156697.1766
MEM 4034.500000 1684156697.2863
MEM 4034.492188 1684156697.3945
MEM 3887.511719 1684156697.5022
MEM 3941.910156 1684156697.6134
MEM 3979.742188 1684156697.7226
MEM 4034.492188 1684156697.8311
MEM 4011.875000 1684156697.9401
MEM 3947.562500 1684156698.0485
MEM 3887.496094 1684156698.1582
MEM 3887.496094 1684156698.2670
MEM 3932.589844 1684156698.3772
MEM 3978.332031 1684156698.4860
MEM 4034.492188 1684156698.5957
MEM 3970.777344 1684156698.7049
MEM 3900.636719 1684156698.8136
MEM 3940.574219 1684156698.9233
MEM 3953.574219 1684156699.0330
MEM 3958.425781 1684156699.1437
MEM 3957.312500 1684156699.2514
MEM 3937.238281 1684156699.3602
MEM 3955.765625 1684156699.4709
MEM 3984.890625 1684156699.5786
MEM 4014.589844 1684156699.6889
MEM 4034.492188 1684156699.7996
MEM 4034.492188 1684156699.9086
MEM 4021.328125 1684156700.0183
MEM 4022.296875 1684156700.1290
MEM 4001.105469 1684156700.2362
MEM 4011.347656 1684156700.3469
MEM 4031.296875 1684156700.4537
MEM 4034.492188 1684156700.5634
MEM 4034.492188 1684156700.6711
MEM 4034.492188 1684156700.7818
MEM 3987.562500 1684156700.8925
MEM 4034.492188 1684156701.0022
MEM 4034.492188 1684156701.1114
MEM 4034.492188 1684156701.2206
MEM 4034.492188 1684156701.3293
